id,State
Ailuropoda_melanoleuca,No
Bos_mutus,No
Camelus_bactrianus,Yes
Canis_familiaris,Yes
Capra_hircus,No
Castor_canadensis,No
Cebus_capucinus,Yes
Ceratotherium_simum_simum,No
Chlorocebus_sabaeus,No
Colobus_angolensis,No
Cricetulus_griseus,Yes
Enhydra_lutris_kenyoni,Yes
Eptesicus_fuscus,Yes
Equus_asinus,No
Homo_sapiens,Yes
Macaca_fascicularis,Yes
Mus_musculus,Yes
Nomascus_leucogenys,No
Odobenus_rosmarus_divergens,Yes
Odocoileus_virginianus_texanus,No
Orcinus_orca,Yes
Orycteropus_afer_afer,Yes
Otolemur_garnettii,Yes
Panthera_pardus,Yes
Papio_anubis,Yes
Physeter_catodon,Yes
Rhinolophus_sinicus,Yes
Sus_scrofa,Yes
Trichechus_manatus_latirostris,No
Tupaia_chinensis,Yes
